id,name,parent_id,color,label_tree_id,aphia_id,catami / CAAB
200347,Plexauridae,200233,0bc1e6,1064,125277,11168901
200348,Polychaeta,200239,5ca3e6,1064,883,22000000
200349,Polymixiiformes,200232,ff8c40,1064,10311,37990083
200350,Polyplacophora,200323,590cf2,1064,55,23100000
200351,Porifera,200238,0cd0f2,1064,558,10000000
200352,Primnoidae,200233,45e6bd,1064,125278,11168901
200353,Protoptilidae,200340,e645c3,1064,128485,11168918
200354,Pycnogonida,200266,d673e6,1064,1302,33000000
200356,Sabellidae,200363,8749f2,1064,985,22000901
200357,Scaphopoda,200323,9e67e6,1064,104,23000000
200358,Schizopathidae,200243,f2b118,1064,266964,11168901
200359,Scleractinia,200305,e7f26d,1064,1363,11290000
200361,Scombriformes,200232,80ffc1,1064,1517490,37990083
200362,Scyphozoa,200275,2800f2,1064,135220,11120000
200363,Sedentaria,200348,8749f2,1064,754175,22000901
200364,Selachii,200290,e6920b,1064,368408,37990016
200365,Serpulidae,200363,f26db9,1064,988,22000901
200366,Siphonophorae,200311,6dff59,1064,1371,11090000
200367,SM1 Chironephthya msp1,200333,bf6df2,1064,415194,11168911
200368,SM2 Anthothela msp1,200241,2af218,1064,125324,11168919
200369,SM3 Clavularia borealis,200274,60e65c,1064,520680,11168919
200370,SM4 Alcyonacea msp1,200233,39e66a,1064,1365,25200901
200371,SM5 Anthomastus msp2,200234,f2b26d,1064,125285,37990083
200372,SM6 Gersemia msp1,200332,e6290b,1064,146953,37990016
200373,SM7 Carijoa msp1,200274,6aff59,1064,205447,11168912
200374,SM8 Clavulariidae msp1,200274,ff6699,1064,125270,11001000
200375,SM9 Anthomastus msp7,200234,4954f2,1064,125285,10000903
200376,SM10 Drifa msp1,200332,79f289,1064,146940,11168911
200377,SM11 Anthomastus msp3,200234,333aff,1064,125285,11168910
200378,SM12 Gersemia msp4,200332,7761f2,1064,146953,11168911
200379,SM13 Gersemia msp2,200332,8.77E+09,1064,146953,11168911
200380,SM14 Octocorallia msp2,200336,bf6df2,1064,1341,11168919
200381,SM15 Stolonifera msp2,200233,bf6df2,1064,1368,11168919
200382,SM16 Anthelia fallax,201016,bf6df2,1064,125346,11168919
200383,SM17 Octocorallia msp1,200336,2ee6c1,1064,1341,11168919
200384,SM18 Anthomastus msp6,200234,ff0d6a,1064,125285,11168910
200385,SM19 Anthomastus msp1,200234,9a26ff,1064,125285,11168910
200386,SM20 Octocorallia msp3,200336,55e8f2,1064,1341,11168919
200387,SM21 Anthothela msp4,200241,f23de9,1064,125324,11168919
200388,SM22 Anthomastus msp4,200234,40ffa3,1064,125285,11168910
200389,SM23 Iciligorgia msp1,200241,e22ee6,1064,267499,11168919
200390,SM24 Drifa msp2,200332,3de3f2,1064,146940,11168911
200391,SM25 Gersemia msp3,200332,73e69b,1064,146953,11168911
200392,SM26 Anthothela msp3,200241,808eff,1064,125324,11168919
200393,SM27 Clavularia rudis,200274,c4ff66,1064,177678,11168919
200394,SM28 Stolonifera msp1,200233,ff0d51,1064,1368,11168919
200395,SM29 Anthothela grandiflora,200241,5424f2,1064,125414,11168919
200396,SM30 Anthothela msp2,200241,34e62e,1064,125324,11168919
200397,SM31 Anthomastus msp5,200234,4dff58,1064,125285,11168910
200398,SM100 Bonellia viridis,200289,5ca3e6,1064,110363,22000901
200399,SM101 Polychaeta msp1,200293,6df2cc,1064,883,22000902
200400,SM102 Sedentaria msp4,200363,8749f2,1064,754175,22000901
200401,SM103 Serpulidae msp1,200365,f26db9,1064,988,22000901
200402,SM104 Aphroditiformia msp5,200293,ffb066,1064,927,22000902
200403,SM105 Aphroditiformia msp2,200293,ff8e59,1064,927,22000902
200404,SM106 Hyalinoecia tubicola,200293,4.57E+09,1064,130464,22000901
200405,SM107 Sedentaria msp3,200363,83f261,1064,754175,22000901
200406,SM108 Sabellidae msp2,200356,8749f2,1064,985,22000901
200407,SM109 Sabellidae msp1,200356,f23091,1064,985,22000901
200408,SM110 Echiura msp1,200289,5ca3e6,1064,1269,22000901
200409,SM111 Aphroditiformia msp1,200293,5ce691,1064,927,22000902
200410,SM112 Sedentaria msp8,200363,3d55f2,1064,754175,22000901
200411,SM113 Aphroditiformia msp3,200293,557af2,1064,927,22000902
200412,SM114 Aphroditiformia msp6,200293,d43df2,1064,927,22000902
200413,SM115 Polychaeta msp3,200293,e6505a,1064,883,22000902
200414,SM116 Aphroditiformia msp4,200293,55f272,1064,927,22000902
200415,SM117 Sedentaria msp6,200363,aaff80,1064,754175,22000901
200416,SM118 Polychaeta msp4,200293,18f277,1064,883,22000902
200417,SM119 Sedentaria msp7,200363,808aff,1064,754175,22000901
200418,SM120 Polychaeta msp2,200293,3df2c2,1064,883,22000902
200419,SM121 Sedentaria msp1,200363,f2616b,1064,754175,22000901
200420,SM122 Sedentaria msp2,200363,66ffbd,1064,754175,22000901
200421,SM123 Sedentaria msp5,200363,ff4640,1064,754175,22000901
200422,SM124 Echiura msp2,200289,f2740c,1064,1269,22000901
200423,SM125 cf. Bathypathes  msp.1,200358,f2b118,1064,103304,11168912
200424,SM126 Stichopathes  msp.1,200244,73deff,1064,103308,11168901
200425,SM127 Antipatharia  msp.1,200243,73deff,1064,22549,11168912
200426,SM128 Trissopathes n.sp.,200273,bb67e6,1064,267926,11168905
200427,SM129 Telopathes  msp.3,200358,f2ef18,1064,740050,11168902
200428,SM130 Stichopathes cf. gravieri,200244,bfe673,1064,472931,11168901
200429,SM131 Stauropathes punctata,200358,e65093,1064,291112,11168902
200430,SM132 Stauropathes  msp.2,200358,e69239,1064,267854,11168902
200431,SM133 Parantipathes  msp.5,200358,e63df2,1064,103306,11168905
200432,SM134 Parantipathes  msp.2,200358,1852f2,1064,103306,11168905
200433,SM135 Antipathes atlantica,200244,e3f20c,1064,283882,11168902
200434,SM136 Leiopathes glaberrima,200317,5bf224,1064,103326,11168902
200435,SM137 Leiopathes  msp.2,200317,f249c5,1064,103305,11168912
200436,SM138 Trissopathes  msp.1,200273,306ef2,1064,267926,11168905
200437,SM139 Bathypathes  msp.2,200358,3df258,1064,103304,11168912
200438,SM140 Tanacetipathes hirta,200328,8a2ee6,1064,291175,11168905
200439,SM141 Leiopathes  msp.1,200317,f26dc1,1064,103305,11168902
200440,SM142 Distichopathes filix,200245,f224a0,1064,289840,11168902
200441,SM143 Antipathes furcata,200244,0c70f2,1064,103312,11168902
200442,SM144 Antipathes cf. dichotoma,200244,e69350,1064,103309,11168902
200443,SM145 Telopathes  msp.2,200358,f23a0c,1064,740050,11168902
200444,SM146 Bathypathes  msp.7,200358,3d9df2,1064,103304,11168912
200445,SM147 Stauropathes cf. punctata,200358,2bf224,1064,291112,11168902
200446,SM148 cf. Antipathella  msp.1,200328,e650a0,1064,267233,11168902
200447,SM149 Tanacetipathes tanacetum,200328,8ae639,1064,291180,11168905
200448,SM150 Parantipathes  msp.4,200358,e6d222,1064,103306,11168905
200449,SM151 Antipatharia  msp.2,200243,67a4e6,1064,22549,11168902
200450,SM152 Telopathes  msp.1,200358,0dffb2,1064,740050,11168902
200451,SM153 Antipatharia  msp.6,200243,f2d830,1064,22549,11168902
200452,SM154 Parantipathes  msp.1,200358,71e650,1064,103306,11168905
200453,SM155 Leiopathes  msp.1,200317,82e617,1064,103305,11168912
200454,SM156 Heteropathes americana,200273,0cf22f,1064,723294,11168912
200455,SM157 Stichopathes  msp.3,200244,a6f200,1064,103308,11168901
200456,SM158 Bathypathes patula,200358,aa18f2,1064,103323,11168912
200457,SM159 Antipatharia  msp.4,200243,f2bb6d,1064,22549,11168902
200458,SM160 Allopathes denhartogi,200244,4de62e,1064,289390,11168902
200459,SM161 Chrysopathes  msp.1,200273,1ee617,1064,267316,11168905
200460,SM162 Antipatharia  msp.5,200243,f27324,1064,22549,11168902
200461,SM163 Bathypathes  msp.4,200358,f261bb,1064,103304,11168912
200462,SM164 Bathypathes  msp.6,200358,f26194,1064,103304,11168912
200463,SM165 Alternatipathes  msp.1,200358,1938ff,1064,994317,11168912
200464,SM166 Bathypathes  msp.5,200358,ff8873,1064,103304,11168912
200465,SM167 Stauropathes cf. arctica,200358,b361f2,1064,291111,11168902
200466,SM168 Aphanipathes  msp.1,200245,baff59,1064,103303,11168905
200467,SM169 Stauropathes  msp.1,200358,4724f2,1064,267854,11168902
200468,SM170 Bathypathes  msp.1,200358,39f224,1064,103304,11168912
200469,SM171 Phanopathes  msp.1,200245,55f294,1064,267729,11168912
200470,SM172 Cladopathinae  msp.1,200273,80ccff,1064,723333,11168905
200471,SM173 Bathypathes  mps.3,200358,3df28b,1064,103304,11168912
200472,SM174 Dendrobathypathes  msp.1,200358,f27989,1064,267372,11168912
200473,SM175 Leiopathes  msp.2,200317,ff7398,1064,103305,11168902
200474,SM176 Antipatharia  msp.3,200243,f2550c,1064,22549,11168902
200475,SM177 Parantipathes  msp.3,200358,59ffc2,1064,103306,11168905
200476,SM178 Antipatharia  msp.8,200243,7bf20c,1064,22549,11168902
200477,SM179 Antipatharia  msp.7,200243,8373ff,1064,22549,11168912
200478,SM180 Lillipathes   msp.1,200358,24f228,1064,267553,11168902
200479,SM181 Parantipathes hirondelle,200358,716df2,1064,472932,11168905
200480,SM182 Trissopathes  msp.2,200273,f2797b,1064,267926,11168905
200481,SM183 Stichopathes  msp.2,200244,a2e667,1064,103308,11168901
200482,SM184 Pycnogonida msp7,200354,00c2f2,1064,1302,33000000
